"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
2,-9.16155185476509,-21.3440805667365
2.04,-15.2078139774513,-19.8087366346185
2.08,-20.0488556299263,-19.3451687438478
2.12,-21.1736214112904,-23.107502850691
2.16,-20.1183493401487,-27.2948776890726
2.2,-18.8575088146126,-30.6450248303585
2.24,-17.8433300766588,-33.2656435522493
2.28,-17.0635136796055,-35.3562807860052
2.32,-16.4578615240638,-37.0485314397351
2.36,-15.9734936909275,-38.440145893392
2.4,-15.5736464010435,-39.6008730273375
2.44,-15.2362040725225,-40.5730969685386
2.48,-14.9456825387239,-41.3881499227686
2.52,-14.6910233555455,-42.069790015171
2.56,-14.4653162322294,-42.6309785082052
2.6,-14.2608618462907,-43.0930648881175
2.64,-14.0732810196755,-43.4672696220967
2.68,-13.8991465676681,-43.7627454652644
2.72,-13.7357324906244,-43.9870157383651
2.76,-13.5810157345231,-44.1446537434511
2.8,-13.4330500653511,-44.2412023864224
2.84,-13.2901356556775,-44.282598968304
2.88,-13.1510219746876,-44.2722846896006
2.92,-13.0146248720131,-44.2131132109554
2.96,-12.8799905971172,-44.1074364835922
3,-12.7462687543281,-43.9547991262603
3.04,-12.6126047770007,-43.7592725507873
3.08,-12.4783083620697,-43.522036694545
3.12,-12.3427444335601,-43.2440147389501
3.16,-12.2053290075876,-42.9259165647059
3.2,-12.0654483768156,-42.5671964776384
3.24,-11.9225892500169,-42.1682995715969
3.28,-11.7764254603492,-41.7306583799495
3.32,-11.6266528011914,-41.2546045566664
3.36,-11.4730783591232,-40.740532216502
3.4,-11.3156483134591,-40.1889734487336
3.44,-11.1542940397116,-39.5987195218055
3.48,-10.9895973911796,-38.9730299670155
3.52,-10.8221592875677,-38.313553118361
3.56,-10.6528216941849,-37.622529225336
3.6,-10.4826500658381,-36.9028994142672
3.64,-10.3129357202939,-36.1578405592417
3.68,-10.145118492198,-35.3924043977169
3.72,-9.98042060536307,-34.6126944100104
3.76,-9.81983030925685,-33.824580019015
3.8,-9.66394966801027,-33.0339860648253
3.84,-9.51290093508092,-32.2463504021206
3.88,-9.36651300761363,-31.4665704047714
3.92,-9.22373414656349,-30.6967327657459
3.96,-9.08379714318793,-29.9371096262079
4,-8.94647032409553,-29.1863965047226
4.04,-8.81282063878785,-28.4428149729282
4.08,-8.68671945130066,-27.706403069745
4.12,-8.5768221615684,-26.9827799452343
4.16,-8.49762398293273,-26.2874971476034
4.2,-8.47187591489509,-25.6512273748954
4.24,-8.53057857172679,-25.1227486738647
4.28,-8.70959180459059,-24.7662582363662
4.32,-9.05001243622895,-24.6635867276896
4.36,-9.5537864798969,-24.8393872022062
4.4,-10.1998067894812,-25.2806058170325
4.44,-10.9416064437175,-25.9345649783128
4.48,-11.7214848219357,-26.7322210011412
4.52,-12.484655623359,-27.6111568860182
4.56,-13.1909170748413,-28.5225795944501
4.6,-13.8220525088437,-29.4380058109314
4.64,-14.3719542470987,-30.343028687443
4.68,-14.8424353652221,-31.2307070274328
4.72,-15.2393059177038,-32.0980787927339
4.76,-15.5664463873285,-32.9423186132016
4.8,-15.8347692897495,-33.7625644876212
4.84,-16.0502323821111,-34.5552345001505
4.88,-16.217955731292,-35.31455636101
4.92,-16.342376083303,-36.0321895939904
